date,target,revenue,stock,total_promo_rate_1,total_promo_rate_2,target_winsorized
2017-01-02,48561.663999999975,141444.80000000264,15.88804590113937,1577.0,0.0,48561.663999999975
2017-01-09,51610.785,144054.02000000028,15.982221284499339,882.0,0.0,51610.785
2017-01-16,62053.02000000002,392389.6499999983,16.820046597258855,1750.0,0.0,62053.02000000002
2017-01-23,51485.35800000004,146590.66000000006,16.4218578973924,2223.0,0.0,51485.35800000004
2017-01-30,66804.18000000001,180482.32999999876,16.368131553162847,1553.0,0.0,66804.18000000001
2017-02-06,67899.326,191824.2709999996,16.401446938753633,1611.0,0.0,67899.326
2017-02-13,51932.85500000002,144860.5200000004,16.244037129455098,1255.0,0.0,51932.85500000002
2017-02-20,77639.88799999998,190409.2520000015,16.226986429718497,650.0,0.0,77639.88799999998
2017-02-27,79561.55300000001,214483.39900000452,16.269148177285437,1112.0,0.0,79561.55300000001
2017-03-06,61013.38200000003,168179.55000000272,16.316796121127478,1730.0,0.0,61013.38200000003
2017-03-13,50535.79400000001,152777.68000000136,16.03409804827832,1461.0,0.0,50535.79400000001
2017-03-20,49188.611999999994,147497.51000000117,16.058024411161778,1465.0,0.0,49188.611999999994
2017-03-27,50222.893,156083.18000000058,16.08207481028253,1763.0,0.0,50222.893
2017-04-03,51227.68200000001,159699.95000000065,15.841555228565824,1827.0,0.0,51227.68200000001
2017-04-10,84390.28899999999,243122.32100000532,15.992410881164604,1172.0,0.0,84390.28899999999
2017-04-17,52997.433000000005,178658.2899999998,15.995569674023447,1766.0,0.0,52997.433000000005
2017-04-24,46813.79699999999,142268.130000001,15.789117982442598,2167.0,0.0,46813.79699999999
2017-05-01,48830.045999999995,155632.47000000067,15.520596286617794,1991.0,0.0,48830.045999999995
2017-05-08,49101.156,165574.88000000155,15.608217418146856,1987.0,0.0,49101.156
2017-05-15,47904.58399999998,155368.6599999998,15.999837670008784,1825.0,0.0,47904.58399999998
2017-05-22,49526.051999999996,195331.56000000055,16.650695111350892,1175.0,0.0,49526.051999999996
2017-05-29,46916.043,204789.21899999873,16.44219465332465,500.0,0.0,46916.043
2017-06-05,52687.37400000001,212223.78999999983,15.941818971164846,762.0,0.0,52687.37400000001
2017-06-12,43627.91699999999,167028.49000000086,16.000582210662692,1685.0,0.0,43627.91699999999
2017-06-19,49326.765999999974,176987.89000000164,16.541634379408293,2908.0,0.0,49326.765999999974
2017-06-26,50602.55599999997,179324.4200000001,16.218738265519022,1304.0,0.0,50602.55599999997
2017-07-03,51461.80100000001,199537.4700000009,15.902744192307699,313.0,0.0,51461.80100000001
2017-07-10,50363.94499999997,188344.9000000008,15.830827614815378,667.0,0.0,50363.94499999997
2017-07-17,50319.726,183870.44000000096,15.63391638335454,597.0,0.0,50319.726
2017-07-24,51649.306,189379.55000000057,15.618985340533142,1392.0,0.0,51649.306
2017-07-31,52377.22200000001,192022.90000000075,16.38513184350328,1894.0,0.0,52377.22200000001
2017-08-07,53263.34299999999,188742.55000000197,16.735772386243617,1391.0,0.0,53263.34299999999
2017-08-14,53420.30200000002,182712.02000000235,16.7075900518343,677.0,0.0,53420.30200000002
2017-08-21,53238.60900000001,195651.69999999902,17.15945874127139,1342.0,0.0,53238.60900000001
2017-08-28,51660.45499999999,187653.17999999798,17.314412432554978,1208.0,0.0,51660.45499999999
2017-09-04,49854.05100000003,188351.809999999,16.59166205934567,1389.0,0.0,49854.05100000003
2017-09-11,53558.76600000001,253033.70000000013,16.99913353194609,1757.0,0.0,53558.76600000001
2017-09-18,53151.60199999999,182955.33000000106,17.293281735547872,730.0,0.0,53151.60199999999
2017-09-25,60987.494000000006,193224.5700000009,17.75383942972082,362.0,0.0,60987.494000000006
2017-10-02,53350.731,204177.99000000046,17.49182769849097,1654.0,0.0,53350.731
2017-10-09,48447.223,190510.80000000075,17.214196662110243,1044.0,0.0,48447.223
2017-10-16,45644.655999999995,171569.82000000082,17.19537731443626,201.0,0.0,45644.655999999995
2017-10-23,44972.06499999999,161459.03000000044,17.18332101038037,515.0,0.0,44972.06499999999
2017-10-30,44112.60799999997,165380.5700000007,16.88204873322328,1474.0,0.0,44112.60799999997
2017-11-06,45164.13599999999,163806.12000000052,16.58227347018538,2033.0,0.0,45164.13599999999
2017-11-13,45268.76699999999,174203.28000000032,16.69512402127998,1855.0,0.0,45268.76699999999
2017-11-20,45517.55499999999,166493.62000000026,16.59540224363252,2113.0,0.0,45517.55499999999
2017-11-27,43738.63499999998,163242.14000000092,16.702901209122164,1671.0,0.0,43738.63499999998
2017-12-04,46151.05699999996,171179.26999999938,16.751972333547666,1364.0,0.0,46151.05699999996
2017-12-11,45829.24500000002,177554.72000000012,17.460997452006975,1007.0,0.0,45829.24500000002
2017-12-18,84390.28899999999,218258.9499999985,21.880224721043387,1298.0,0.0,84390.28899999999
2017-12-25,60702.23499999997,256690.6299999979,17.863180827944213,1197.0,0.0,60702.23499999997
2018-01-01,46015.65399999998,175960.96999999852,16.933615628374042,625.0,0.0,46015.65399999998
2018-01-08,47637.071000000054,177624.81999999823,16.914848791798878,656.0,0.0,47637.071000000054
2018-01-15,51447.584000000024,271304.9099999948,16.760361448174685,822.0,0.0,51447.584000000024
2018-01-22,48578.46399999998,180969.2899999983,16.471577233674765,1647.0,0.0,48578.46399999998
